Name,Time
GUY,15:26:45
BILL GATES,16:27:58
ELON MUSK,16:27:58
ELON MUSK,16:27:59
BILL GATES,16:27:59
ELON MUSK,16:28:00
BILL GATES,16:28:00
ELON MUSK,16:28:01
BILL GATES,16:28:01
ELON MUSK,16:28:03
BILL GATES,16:28:03
ELON MUSK,16:28:04
BILL GATES,16:28:04
ELON MUSK,16:28:05
BILL GATES,16:28:05
ELON MUSK,16:28:06
BILL GATES,16:28:06
BILL GATES,16:28:07
BILL GATES,16:28:08
STEVE JOBS,16:28:45
STEVE JOBS,16:28:46
STEVE JOBS,16:28:46
STEVE JOBS,16:28:47
STEVE JOBS,16:28:48
STEVE JOBS,16:28:48
STEVE JOBS,16:28:49
STEVE JOBS,16:28:50
STEVE JOBS,16:28:50
STEVE JOBS,16:28:51
STEVE JOBS,16:28:52
STEVE JOBS,16:28:53
STEVE JOBS,16:28:53
STEVE JOBS,16:28:54
MARK ZUKENBERG,16:29:09
MARK ZUKENBERG,16:29:09
MARK ZUKENBERG,16:29:10
MARK ZUKENBERG,16:29:11
MARK ZUKENBERG,16:29:12
MARK ZUKENBERG,16:29:12
MARK ZUKENBERG,16:29:13
